"0","#Plot sessions vs apps for FY2018/19"
"0","app_eighteen_plot <- ggplot() +"
"0","  geom_line(data = eighteen_nineteen_app_values, "
"0","           aes(x = date, y = goal9Completions))  +"
"0","  labs(x = ""Date"", y = ""Applications"")"
"0",""
"0","sessions_eighteen_plot <- ggplot() +"
"0","  geom_line(data = eighteen_nineteen_app_values, "
"0","           aes(x = date, y = sessions)) +"
"0","  labs(x = ""Date"", y = ""Sessions"")"
"0",""
"0","ggarrange(sessions_eighteen_plot, app_eighteen_plot,"
"0","          ncol = 1, nrow = 2)"
