"0","```r
mod4a <- lm(goal9Completions ~ 1+month+sessions+goal3Completions+goal3Completions:month+userType+daysSinceLastSession 
            + country, 
            data = train_large)
summary(mod4a) 
```"
"1","
Call:
lm(formula = goal9Completions ~ 1 + month + sessions + goal3Completions + 
    goal3Completions:month + userType + daysSinceLastSession + 
    country, data = train_large)

Residuals:
     Min       1Q   Median       3Q      Max 
-1.28546 -0.01566 -0.01178 -0.00457  2.85235 

Coefficients:
                                Estimate Std. Error t value Pr(>|t|)    
(Intercept)                   -3.617e-03  9.049e-03  -0.400 0.689358    
month02                       -2.412e-03  2.400e-03  -1.005 0.315074    
month03                        7.509e-04  2.291e-03   0.328 0.743045    
month04                        8.554e-04  2.390e-03   0.358 0.720371    
month05                        4.638e-04  2.384e-03   0.195 0.845743    
month06                       -1.354e-03  2.481e-03  -0.546 0.585261    
month07                       -2.300e-03  2.389e-03  -0.963 0.335617    
month08                        3.873e-03  2.378e-03   1.628 0.103435    
month09                        2.967e-03  2.356e-03   1.260 0.207825    
month10                       -4.188e-03  2.382e-03  -1.758 0.078703 .  
month11                       -4.421e-03  2.407e-03  -1.836 0.066299 .  
month12                       -3.299e-03  2.563e-03  -1.287 0.197932    
sessions                       1.072e-03  4.124e-05  25.997  < 2e-16 ***
goal3Completions              -1.522e-04  7.136e-03  -0.021 0.982983    
userTypeReturning Visitor      8.443e-03  2.118e-03   3.987 6.71e-05 ***
daysSinceLastSession          -1.784e-04  1.951e-05  -9.145  < 2e-16 ***
countryAfghanistan             3.115e-03  5.808e-02   0.054 0.957227    
countryÅland Islands           1.794e-03  1.151e-01   0.016 0.987567    
countryAlbania                 1.227e-03  3.194e-02   0.038 0.969358    
countryAlgeria                 5.078e-03  2.780e-02   0.183 0.855067    
countryAndorra                -7.512e-04  8.165e-02  -0.009 0.992659    
countryAngola                  3.323e-03  8.165e-02   0.041 0.967537    
countryAntigua & Barbuda       1.794e-03  1.151e-01   0.016 0.987567    
countryArgentina               1.120e-02  1.443e-02   0.776 0.437626    
countryArmenia                 2.826e-03  3.431e-02   0.082 0.934351    
countryAustralia               2.828e-03  1.039e-02   0.272 0.785512    
countryAustria                 8.255e-03  1.337e-02   0.617 0.536995    
countryAzerbaijan              3.078e-03  3.431e-02   0.090 0.928519    
countryBahamas                -1.813e-03  6.687e-02  -0.027 0.978370    
countryBahrain                 2.138e-03  3.737e-02   0.057 0.954375    
countryBangladesh              2.283e-03  1.461e-02   0.156 0.875826    
