"0","#Plot non-hiring companies"
"0","ggplot(non_hiring_size) +"
"0","  aes(x = reorder(industry, count), y = count, fill = `Company Size`) +"
"0","  geom_col() +"
"0","  coord_flip() +"
"0","  scale_fill_discrete(name = ""Company Size"") +"
"0","  labs(title = ""Non-Hiring Companies by Sector and Size"", x = ""Industry"","
"0","       y = ""Number of Companies"") +"
"0","  theme(title = element_text(size = 12, face = ""bold""),"
"0","                  axis.title = element_text(size = 12, face = ""bold""),"
"0","                  axis.text = element_text(size = 10),"
"0","                  legend.title = element_text(size = 10))"
