"0","#Plot app values and info session clicks over entire year"
"0","info_clicks_eighteen_plot <- ggplot() +"
"0","  geom_line(data = eighteen_nineteen_app_values, "
"0","           aes(x = date, y = goal3Completions, colour = ""blue"")) +"
"0","  geom_line(data = eighteen_nineteen_app_values, "
"0","           aes(x = date, y = goal5Completions, colour = ""red"")) +"
"0","  labs(x = ""Date"", y = ""Info Session Clicks"") +"
"0","  theme(legend.position = ""none"")"
"0",""
"0","goal9_eighteen_plot <- "
"0","ggplot() +"
"0","   geom_line(data = eighteen_nineteen_app_values, "
"0","           aes(x = date, y = goal9Completions)) +"
"0","labs(x = ""Date"", y = ""Applications"")"
"0",""
"0","ggarrange(info_clicks_eighteen_plot, goal9_eighteen_plot,"
"0","          ncol = 1, nrow = 2)"
